geoid,name,B01003001,"B01003001, Error"
04000US36,New York,19994380,
86000US06390,"06390",53,39
86000US10001,"10001",27004,1827
86000US10002,"10002",76518,2894
86000US10003,"10003",53877,2579
86000US10004,"10004",4579,926
86000US10005,"10005",8801,1132
86000US10006,"10006",3736,497
86000US10007,"10007",7506,1114
86000US10009,"10009",58418,3009
86000US10010,"10010",32410,2681
86000US10011,"10011",50772,2368
86000US10012,"10012",21216,1420
86000US10013,"10013",29453,1909
86000US10014,"10014",29461,1737
86000US10016,"10016",54369,3189
86000US10017,"10017",14486,1498
86000US10018,"10018",8659,971
86000US10019,"10019",42766,2392
86000US10020,"10020",0,13
86000US10021,"10021",40642,2959
86000US10022,"10022",33586,2526
86000US10023,"10023",65706,3434
86000US10024,"10024",62774,3901
86000US10025,"10025",96988,4731
86000US10026,"10026",38265,2477
86000US10027,"10027",65806,3195
86000US10028,"10028",45717,3098
86000US10029,"10029",75614,3164
86000US10030,"10030",31268,1699
86000US10031,"10031",61044,3139
86000US10032,"10032",60480,3073
86000US10033,"10033",58711,3457
86000US10034,"10034",41570,2951
86000US10035,"10035",38595,2256
86000US10036,"10036",30930,1895
86000US10037,"10037",19138,1400
86000US10038,"10038",23343,2133
86000US10039,"10039",29887,2584
86000US10040,"10040",43653,2844
86000US10044,"10044",11846,1050
86000US10065,"10065",30859,2192
86000US10069,"10069",6259,1534
86000US10075,"10075",23920,2238
86000US10103,"10103",0,13
86000US10110,"10110",0,13
86000US10111,"10111",0,13
86000US10112,"10112",0,13
86000US10115,"10115",0,13
86000US10119,"10119",0,13
86000US10128,"10128",56695,3081
86000US10152,"10152",0,13
86000US10153,"10153",0,13
86000US10154,"10154",0,13
86000US10162,"10162",1523,724
86000US10165,"10165",0,13
86000US10167,"10167",0,13
86000US10168,"10168",0,13
86000US10169,"10169",0,13
86000US10170,"10170",0,13
86000US10171,"10171",0,13
86000US10172,"10172",0,13
86000US10173,"10173",0,13
86000US10174,"10174",0,13
86000US10177,"10177",0,13
86000US10199,"10199",0,13
86000US10271,"10271",0,13
86000US10278,"10278",0,13
86000US10279,"10279",161,159
86000US10280,"10280",8843,1359
86000US10282,"10282",6450,846
86000US10301,"10301",40331,2522
86000US10302,"10302",18567,1634
86000US10303,"10303",27083,1682
86000US10304,"10304",44864,2694
86000US10305,"10305",42211,2271
86000US10306,"10306",56232,2713
86000US10307,"10307",14755,1440
86000US10308,"10308",30075,2150
86000US10309,"10309",34740,2229
86000US10310,"10310",26239,2171
86000US10311,"10311",0,13
86000US10312,"10312",63473,2814
86000US10314,"10314",94355,2807
86000US10451,"10451",51311,2999
86000US10452,"10452",78624,3253
86000US10453,"10453",80385,3125
86000US10454,"10454",41073,2161
86000US10455,"10455",44380,2803
86000US10456,"10456",88575,4052
86000US10457,"10457",79817,3759
86000US10458,"10458",82678,3681
86000US10459,"10459",51964,3001
86000US10460,"10460",59852,2741
86000US10461,"10461",50868,2160
86000US10462,"10462",77230,2809
86000US10463,"10463",70296,2985
86000US10464,"10464",4292,801
86000US10465,"10465",46311,2368
86000US10466,"10466",72273,3432
